year,province,cohort_type,actual_intake,optimal_intake,aci_value,niv_per_unit,scenario
2018,QC,high_wage_worker,71115,0,0.4592,412526.93,aci_equal
2018,QC,in_canada_transition,0,0,0.5,237641.37,aci_equal
2018,QC,low_quality_student,9905,0,0.4592,-211205.93,aci_equal
2018,QC,low_wage_worker,18875,0,0.4592,-180555.42,aci_equal
2018,QC,refugee,9640,1892,0.4592,-439889.84,aci_equal
2018,SK,family_class,1975,0,0.5493,-133783.0,aci_equal
2018,SK,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,SK,high_quality_student,4325,0,0.5493,99711.36,aci_equal
2018,SK,high_wage_worker,6380,0,0.5493,412526.93,aci_equal
2018,SK,in_canada_transition,11560,0,0.5493,237641.37,aci_equal
2018,SK,low_quality_student,1590,0,0.5493,-211205.93,aci_equal
2018,SK,low_wage_worker,1000,0,0.5493,-180555.42,aci_equal
2018,SK,refugee,1055,1892,0.5493,-439889.84,aci_equal
2018,YT,family_class,25,0,,-133783.0,aci_equal
2018,YT,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,YT,high_quality_student,35,0,,99711.36,aci_equal
2018,YT,high_wage_worker,460,0,,412526.93,aci_equal
2018,YT,in_canada_transition,190,0,,237641.37,aci_equal
2018,YT,low_quality_student,5,0,,-211205.93,aci_equal
2018,YT,low_wage_worker,80,0,,-180555.42,aci_equal
2018,YT,refugee,10,1892,,-439889.84,aci_equal
2019,AB,family_class,15290,91025,0.4431,-133783.0,aci_equal
2019,AB,francophone_pr,0,2064,0.5,444285.46,aci_equal
2019,AB,high_quality_student,14450,296205,0.4431,99711.36,aci_equal
2019,AB,high_wage_worker,29960,381165,0.4431,412526.93,aci_equal
2019,AB,in_canada_transition,13270,102995,0.4431,237641.37,aci_equal
2019,AB,low_quality_student,6550,115035,0.4431,-211205.93,aci_equal
2019,AB,low_wage_worker,10930,109645,0.4431,-180555.42,aci_equal
2019,AB,refugee,7640,28477,0.4431,-439889.84,aci_equal
2019,BC,family_class,16225,0,0.4627,-133783.0,aci_equal
2019,BC,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,BC,high_quality_student,57995,0,0.4627,99711.36,aci_equal
2019,BC,high_wage_worker,70585,0,0.4627,412526.93,aci_equal
2019,BC,in_canada_transition,19295,0,0.4627,237641.37,aci_equal
2019,BC,low_quality_student,30775,0,0.4627,-211205.93,aci_equal
2019,BC,low_wage_worker,26945,0,0.4627,-180555.42,aci_equal
2019,BC,refugee,3895,2034,0.4627,-439889.84,aci_equal
2019,MB,family_class,3150,0,0.3956,-133783.0,aci_equal
2019,MB,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,MB,high_quality_student,9835,0,0.3956,99711.36,aci_equal
2019,MB,high_wage_worker,11560,0,0.3956,412526.93,aci_equal
2019,MB,in_canada_transition,12955,0,0.3956,237641.37,aci_equal
2019,MB,low_quality_student,2835,0,0.3956,-211205.93,aci_equal
2019,MB,low_wage_worker,1315,0,0.3956,-180555.42,aci_equal
2019,MB,refugee,2015,2034,0.3956,-439889.84,aci_equal
2019,NB,family_class,395,0,0.3922,-133783.0,aci_equal
2019,NB,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,NB,high_quality_student,3190,0,0.3922,99711.36,aci_equal
